,OKRES,DENTISTS,POPULACE,PATIENTS_PER_DENTIST
0,Benešov,59.29404761904763,98708,1664.7202200493903
1,Beroun,57.34285714285716,93726,1634.4843049327349
2,Blansko,87.60833333333332,108801,1241.9024065442786
3,Brno-město,613.6416666666672,380681,620.3636758694672
4,Brno-venkov,81.75952380952378,222370,2719.8054690002627
5,Bruntál,46.26666666666668,92018,1988.86167146974
6,Břeclav,66.06666666666666,115906,1754.3794147325934
7,Cheb,62.316666666666684,91540,1468.9489168226794
8,Chomutov,59.0,124751,2114.423728813559
9,Chrudim,92.99285714285712,104344,1122.064674706199
10,Domažlice,37.86666666666668,61902,1634.735915492957
11,Děčín,58.43333333333335,129831,2221.865373645179
12,Frýdek-Místek,147.7452380952381,214187,1449.704929656906
13,Havlíčkův Brod,67.44285714285715,94732,1404.6261385299724
14,Hlavní město Praha,1825.2333333333268,1308632,716.9669631280045
15,Hodonín,63.600000000000044,154160,2423.8993710691807
16,Hradec Králové,210.70238095238108,163671,776.7876151194978
17,Jablonec nad Nisou,65.58333333333333,90528,1380.3506988564168
18,Jeseník,25.666666666666664,38330,1493.3766233766235
19,Jihlava,93.84999999999998,113153,1205.6792754395315
20,Jindřichův Hradec,56.559523809523824,90653,1602.7893075142072
21,Jičín,69.5095238095238,79782,1147.785161334521
22,Karlovy Vary,84.97619047619044,115014,1353.485009806669
23,Karviná,143.53333333333336,247887,1727.0343706456104
24,Kladno,65.65,165271,2517.456207159177
25,Klatovy,50.48809523809525,86336,1710.0268804527232
26,Kolín,47.86666666666667,101604,2122.6462395543176
27,Kroměříž,71.0,105572,1486.9295774647887
28,Kutná Hora,40.28333333333333,75370,1870.9971038477452
29,Liberec,139.33333333333337,174811,1254.6244019138753
30,Litoměřice,59.50000000000001,119655,2011.0084033613443
31,Louny,31.416666666666657,86486,2752.8700265251996
32,Mladá Boleslav,96.91666666666664,129136,1332.4436801375755
33,Most,58.11666666666668,112049,1928.001147117866
34,Mělník,43.16666666666668,108352,2510.0849420849413
35,Nový Jičín,58.333333333333336,151680,2600.2285714285713
36,Nymburk,45.75000000000001,99873,2183.0163934426228
37,Náchod,70.61666666666667,110240,1561.1045551097473
38,Olomouc,284.59999999999997,234939,825.5059732958539
39,Opava,106.56666666666666,176254,1653.931811072881
40,Ostrava-město,302.99999999999983,321273,1060.30693069307
41,Pardubice,131.61666666666662,173329,1316.9228821071297
42,Pelhřimov,41.15000000000001,72226,1755.1883353584442
43,Plzeň-jih,39.333333333333336,63004,1601.7966101694915
44,Plzeň-město,288.12619047619046,191599,664.9829357176502
45,Plzeň-sever,38.33333333333334,79278,2068.1217391304344
46,Prachatice,24.535714285714285,50971,2077.420669577875
47,Praha-východ,42.869047619047635,180945,4220.8775340183265
48,Praha-západ,41.40000000000001,146004,3526.6666666666656
49,Prostějov,88.4833333333333,108587,1227.202863062724
50,Písek,27.17857142857142,71308,2623.6846254927736
51,Přerov,85.26904761904764,129925,1523.7064753022642
52,Příbram,58.99285714285714,114778,1945.625378375106
53,Rakovník,35.433333333333344,55565,1568.1561618062083
54,Rokycany,27.36904761904762,48966,1789.1013484123532
55,Rychnov nad Kněžnou,38.0,79088,2081.2631578947367
56,Semily,34.14285714285715,73882,2163.907949790794
57,Sokolov,37.4,88342,2362.085561497326
58,Strakonice,33.39285714285714,70738,2118.357219251337
59,Svitavy,51.15000000000002,104401,2041.0752688172036
60,Tachov,23.28571428571428,53587,2301.2822085889575
61,Teplice,70.28571428571429,128610,1829.8170731707316
62,Trutnov,88.24999999999999,118240,1339.8300283286121
63,Tábor,62.269047619047626,102497,1646.0344893511258
64,Třebíč,76.64047619047616,111069,1449.2211625089321
65,Uherské Hradiště,111.85238095238091,142306,1272.266167142067
66,Vsetín,87.86666666666666,143332,1631.2443095599394
67,Vyškov,51.16666666666667,91645,1791.1074918566774
68,Zlín,162.14166666666674,191711,1182.367271419026
69,Znojmo,72.3333333333333,114104,1577.4746543778808
70,Ústí nad Labem,73.44999999999999,119407,1625.6909462219198
71,Ústí nad Orlicí,79.95238095238093,138242,1729.0541989279336
72,Česká Lípa,54.166666666666686,103135,1904.0307692307686
73,České Budějovice,179.76666666666668,194585,1082.4309289820137
74,Český Krumlov,45.16666666666667,61381,1358.9889298892988
75,Šumperk,85.15,120711,1417.6277157956547
76,Žďár nad Sázavou,85.48333333333328,118094,1381.4856697211942
