OKRES,POPULACE
Benešov,98708
Beroun,93726
Kladno,165271
Kolín,101604
Kutná Hora,75370
Mělník,108352
Mladá Boleslav,129136
Nymburk,99873
Praha-východ,180945
Praha,1308632
Praha-západ,146004
Příbram,114778
Rakovník,55565
České Budějovice,194585
Český Krumlov,61381
Jindřichův Hradec,90653
Písek,71308
Prachatice,50971
Strakonice,70738
Tábor,102497
Domažlice,61902
Klatovy,86336
Plzeň-město,191599
Plzeň-jih,63004
Plzeň-sever,79278
Rokycany,48966
Tachov,53587
Cheb,91540
Karlovy Vary,115014
Sokolov,88342
Děčín,129831
Chomutov,124751
Litoměřice,119655
Louny,86486
Most,112049
Teplice,128610
Ústí nad Labem,119407
Česká Lípa,103135
Jablonec nad Nisou,90528
Liberec,174811
Semily,73882
Hradec Králové,163671
Jičín,79782
Náchod,110240
Rychnov nad Kněžnou,79088
Trutnov,118240
Chrudim,104344
Pardubice,173329
Svitavy,104401
Ústí nad Orlicí,138242
Havlíčkův Brod,94732
Jihlava,113153
Pelhřimov,72226
Třebíč,111069
Žďár nad Sázavou,118094
Blansko,108801
Brno-město,380681
Brno-venkov,222370
Břeclav,115906
Hodonín,154160
Vyškov,91645
Znojmo,114104
Jeseník,38330
Olomouc,234939
Prostějov,108587
Přerov,129925
Šumperk,120711
Kroměříž,105572
Uherské Hradiště,142306
Vsetín,143332
Zlín,191711
Bruntál,92018
Frýdek-Místek,214187
Karviná,247887
Nový Jičín,151680
Opava,176254
Ostrava-město,321273
