,KRAJ,DENTISTS,POPULACE,PATIENTS_PER_DENTIST
0,Hlavní město Praha,1825.2333333333268,1308632,716.9669631280045
1,Jihomoravský kraj,1036.1761904761909,1187667,1146.2017858702093
2,Jihočeský kraj,428.86904761904765,642133,1497.2705621096459
3,Karlovarský kraj,184.69285714285712,294896,1596.683296592799
4,Kraj Vysočina,364.5666666666666,509274,1396.9296882143185
5,Královéhradecký kraj,477.07857142857154,551021,1154.990043568744
6,Liberecký kraj,293.22619047619054,442356,1508.5828427591243
7,Moravskoslezský kraj,805.445238095238,1203299,1493.9550736504805
8,Olomoucký kraj,569.1690476190475,632492,1111.2550878264472
9,Pardubický kraj,355.71190476190475,520316,1462.7455337719798
10,Plzeňský kraj,504.80238095238093,584672,1158.2195767320545
11,Středočeský kraj,634.9654761904762,1369332,2156.5455939674257
12,Zlínský kraj,432.86071428571427,582921,1346.6710670704038
13,Ústecký kraj,410.20238095238096,820789,2000.9367037176771
